source_id,target_id,target_title,discipline
https://openalex.org/W2963061782,https://openalex.org/W4250589301,,Unknown
https://openalex.org/W2963061782,https://openalex.org/W2210084516,A Unified Algorithmic Framework for Block-Structured Optimization Involving Big Data: With applications in machine learning and signal processing,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2206930994,Unmanned Aerial Vehicle With Underlaid Device-to-Device Communications: Performance and Tradeoffs,Unknown
https://openalex.org/W2963061782,https://openalex.org/W2412503523,Efficient Deployment of Multiple Unmanned Aerial Vehicles for Optimal Wireless Coverage,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2031834036,Optimal LAP Altitude for Maximum Coverage,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2558431499,Placement Optimization of UAV-Mounted Mobile Base Stations,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2289204537,Efficient 3-D placement of an aerial base station in next generation cellular networks,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2113274749,Wireless Relay Communications with Unmanned Aerial Vehicles: Performance and Optimization,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2523219060,Throughput Maximization for UAV-Enabled Mobile Relaying Systems,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2963877475,Energy-Efficient Small Cell With Spectrum-Power Trading,Computer science
https://openalex.org/W2963061782,https://openalex.org/W6747980449,,Unknown
https://openalex.org/W2963061782,https://openalex.org/W2791581070,Delay-constrained throughput maximization in UAV-enabled OFDM systems,Computer science
https://openalex.org/W2963061782,https://openalex.org/W6744795083,,Unknown
https://openalex.org/W2963061782,https://openalex.org/W2268751503,Wireless communications with unmanned aerial vehicles: opportunities and challenges,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2963285294,Joint Trajectory and Communication Design for UAV-Enabled Multiple Access,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2964129085,An Overview of Sustainable Green 5G Networks,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2594517509,"Joint Optimization of User Association, Subchannel Allocation, and Power Allocation in Multi-Cell Multi-Association OFDMA Heterogeneous Networks",Computer science
https://openalex.org/W2963061782,https://openalex.org/W2343823234,"Fundamental Green Tradeoffs: Progresses, Challenges, and Impacts on 5G Networks",Computer science
https://openalex.org/W2963061782,https://openalex.org/W2514674767,Cyclical Multiple Access in UAV-Aided Communications: A Throughput-Delay Tradeoff,Computer science
https://openalex.org/W2963061782,https://openalex.org/W2962804513,Energy-Efficient UAV Communication With Trajectory Optimization,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2145152409,BodyCloud: Integration of Cloud Computing and body sensor networks,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2057774111,A Novel Joint RFID and Radar Sensor Network for Passive Localization: Design and Performance Bounds,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2022102190,Radar‐based fall detection based on Doppler time–frequency signatures for assisted living,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2298692413,Radar Signal Processing for Elderly Fall Detection: The future for in-home monitoring,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2626241633,Bistatic human micro-Doppler signatures for classification of indoor activities,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2706629214,Exploiting WiFi Channel State Information for Residential Healthcare Informatics,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2268751503,Wireless communications with unmanned aerial vehicles: opportunities and challenges,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2133050889,An overview of emerging results in cooperative UAV control,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2962726494,Cellular-Enabled UAV Communication: A Connectivity-Constrained Trajectory Optimization Perspective,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2128190945,CSI-Based Indoor Localization,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2011502582,Received-Signal-Strength-Based Indoor Positioning Using Compressive Sensing,Computer science
https://openalex.org/W3006143078,https://openalex.org/W2114142662,Improving RF-based device-free passive localization in cluttered indoor environments through probabilistic classification methods,Computer science
